25210.0, {'247379907': 0.0, '252017285': 0.0, '256201389': 0.0, '26110729': 0.0, '280120513': 0.0, '32319828': 0.0, '62426694': 0.0, 'cluster_1098574052_1098574061_247379905': 0.0}, {'247379907': 0, '252017285': 0, '256201389': 0, '26110729': 0, '280120513': 0, '32319828': 0, '62426694': 0, 'cluster_1098574052_1098574061_247379905': 0}, {'247379907': 0, '252017285': 0, '256201389': 0, '26110729': 0, '280120513': 0, '32319828': 0, '62426694': 0, 'cluster_1098574052_1098574061_247379905': 0}, 
25220.0, {'247379907': 0.0, '252017285': 0.0, '256201389': 0.0, '26110729': 0.0, '280120513': 0.0, '32319828': 0.0, '62426694': 0.0, 'cluster_1098574052_1098574061_247379905': 0.0}, {'247379907': 0, '252017285': 0, '256201389': 0, '26110729': 0, '280120513': 0, '32319828': 0, '62426694': 0, 'cluster_1098574052_1098574061_247379905': 0}, {'247379907': 0, '252017285': 0, '256201389': 0, '26110729': 0, '280120513': 0, '32319828': 0, '62426694': 0, 'cluster_1098574052_1098574061_247379905': 0}, 
25230.0, {'247379907': 0.0, '252017285': 0.0, '256201389': 0.0, '26110729': 0.0, '280120513': 0.0, '32319828': 0.0, '62426694': 0.0, 'cluster_1098574052_1098574061_247379905': 0.0}, {'247379907': 0, '252017285': 0, '256201389': 0, '26110729': 0, '280120513': 0, '32319828': 0, '62426694': 0, 'cluster_1098574052_1098574061_247379905': 0}, {'247379907': 0, '252017285': 0, '256201389': 0, '26110729': 0, '280120513': 0, '32319828': 0, '62426694': 0, 'cluster_1098574052_1098574061_247379905': 0}, 
25240.0, {'247379907': -0.013392857, '252017285': 0.0, '256201389': 0.0, '26110729': 0.0, '280120513': -0.017857144, '32319828': 0.0, '62426694': 0.0, 'cluster_1098574052_1098574061_247379905': 0.0}, {'247379907': 1, '252017285': 0, '256201389': 0, '26110729': 0, '280120513': 1, '32319828': 0, '62426694': 0, 'cluster_1098574052_1098574061_247379905': 0}, {'247379907': 1, '252017285': 0, '256201389': 0, '26110729': 0, '280120513': 1, '32319828': 0, '62426694': 0, 'cluster_1098574052_1098574061_247379905': 0}, 
25250.0, {'247379907': -0.02232143, '252017285': 0.0, '256201389': 0.0, '26110729': -0.035714287, '280120513': -0.0625, '32319828': 0.0, '62426694': 0.0, 'cluster_1098574052_1098574061_247379905': -0.017857144}, {'247379907': 1, '252017285': 0, '256201389': 0, '26110729': 2, '280120513': 1, '32319828': 0, '62426694': 0, 'cluster_1098574052_1098574061_247379905': 2}, {'247379907': 1, '252017285': 0, '256201389': 0, '26110729': 2, '280120513': 1, '32319828': 0, '62426694': 0, 'cluster_1098574052_1098574061_247379905': 2}, 
25260.0, {'247379907': -0.26339287, '252017285': 0.0, '256201389': 0.0, '26110729': -0.125, '280120513': -0.10714286, '32319828': 0.0, '62426694': 0.0, 'cluster_1098574052_1098574061_247379905': -0.14285715}, {'247379907': 4, '252017285': 0, '256201389': 0, '26110729': 2, '280120513': 1, '32319828': 0, '62426694': 0, 'cluster_1098574052_1098574061_247379905': 4}, {'247379907': 9, '252017285': 0, '256201389': 0, '26110729': 2, '280120513': 1, '32319828': 0, '62426694': 0, 'cluster_1098574052_1098574061_247379905': 4}, 
25270.0, {'247379907': -0.66071427, '252017285': 0.0, '256201389': 0.0, '26110729': -0.21428572, '280120513': 0.0, '32319828': 0.0, '62426694': 0.0, 'cluster_1098574052_1098574061_247379905': -0.06696428}, {'247379907': 4, '252017285': 0, '256201389': 0, '26110729': 2, '280120513': 0, '32319828': 0, '62426694': 0, 'cluster_1098574052_1098574061_247379905': 1}, {'247379907': 12, '252017285': 0, '256201389': 0, '26110729': 2, '280120513': 0, '32319828': 0, '62426694': 0, 'cluster_1098574052_1098574061_247379905': 1}, 
25280.0, {'247379907': -0.39732143, '252017285': -0.026785715, '256201389': 0.0, '26110729': 0.0, '280120513': 0.0, '32319828': 0.0, '62426694': 0.0, 'cluster_1098574052_1098574061_247379905': -0.20982143}, {'247379907': 4, '252017285': 1, '256201389': 0, '26110729': 0, '280120513': 0, '32319828': 0, '62426694': 0, 'cluster_1098574052_1098574061_247379905': 5}, {'247379907': 5, '252017285': 1, '256201389': 0, '26110729': 0, '280120513': 0, '32319828': 0, '62426694': 0, 'cluster_1098574052_1098574061_247379905': 5}, 
25290.0, {'247379907': -0.53125, '252017285': -0.17410715, '256201389': 0.0, '26110729': -0.035714287, '280120513': 0.0, '32319828': 0.0, '62426694': -0.04017857, 'cluster_1098574052_1098574061_247379905': -0.45535713}, {'247379907': 5, '252017285': 4, '256201389': 0, '26110729': 1, '280120513': 0, '32319828': 0, '62426694': 1, 'cluster_1098574052_1098574061_247379905': 5}, {'247379907': 5, '252017285': 4, '256201389': 0, '26110729': 1, '280120513': 0, '32319828': 0, '62426694': 1, 'cluster_1098574052_1098574061_247379905': 6}, 
25300.0, {'247379907': -0.75446427, '252017285': -0.071428575, '256201389': 0.0, '26110729': -0.102678575, '280120513': 0.0, '32319828': 0.0, '62426694': -0.084821425, 'cluster_1098574052_1098574061_247379905': -0.73214287}, {'247379907': 5, '252017285': 1, '256201389': 0, '26110729': 2, '280120513': 0, '32319828': 0, '62426694': 1, 'cluster_1098574052_1098574061_247379905': 6}, {'247379907': 5, '252017285': 1, '256201389': 0, '26110729': 4, '280120513': 0, '32319828': 0, '62426694': 1, 'cluster_1098574052_1098574061_247379905': 7}, 
25310.0, {'247379907': -0.5089286, '252017285': 0.0, '256201389': 0.0, '26110729': -0.25892857, '280120513': 0.0, '32319828': 0.0, '62426694': 0.0, 'cluster_1098574052_1098574061_247379905': -1.09375}, {'247379907': 3, '252017285': 0, '256201389': 0, '26110729': 3, '280120513': 0, '32319828': 0, '62426694': 0, 'cluster_1098574052_1098574061_247379905': 7}, {'247379907': 4, '252017285': 0, '256201389': 0, '26110729': 6, '280120513': 0, '32319828': 0, '62426694': 0, 'cluster_1098574052_1098574061_247379905': 9}, 
